,Accuracy,Precision,Recall,F1,Inference Time
IndoBERT,0.916,0.915580183764327,0.875811280223045,0.8905121652109605,208.85127439999906
ONNX,0.916,0.915580183764327,0.875811280223045,0.8905121652109605,81.33706894999932
ONNX Optimized,0.916,0.915580183764327,0.875811280223045,0.8905121652109605,62.66085996999892
