,Accuracy,Precision,Recall,F1,Size,Inference Time
IndoBERT,0.916,0.915580183764327,0.875811280223045,0.8905121652109605,124443651,182.40132666000022
DistilBERT,0.89,0.8865381558514605,0.8548522555875498,0.8664308778743709,68090883,72.66771810000023
